0.3	0.9	5.0	0.0	6.709273182957394
0.3	0.9	5.0	0.01	6.644110275689223
0.3	0.9	5.0	0.02	6.634085213032582
0.3	0.9	5.0	0.05	6.646616541353383
0.3	1.1	6.0	0.0	8.36591478696742
0.3	1.1	6.0	0.01	8.398496240601503
0.3	1.1	6.0	0.02	8.466165413533835
0.3	1.05	6.0	0.05	8.180451127819548
0.3	1.0	5.0	0.0	7.117794486215539
0.3	1.0	5.0	0.02	7.228070175438597
0.3	1.0	5.0	0.05	7.015037593984962
0.3	1.05	6.0	0.0	8.117794486215539
0.3	1.05	6.0	0.01	8.097744360902256
0.3	1.0	6.0	0.02	7.917293233082707
0.3	1.1	6.0	0.05	8.436090225563909
0.3	1.1	5.0	0.05	7.458646616541353
0.3	1.0	6.0	0.01	7.9072681704260654
0.3	1.1	5.0	0.0	7.593984962406015
0.3	1.0	5.0	0.01	7.025062656641604
0.3	1.2	5.0	0.05	8.350877192982455
0.3	1.0	6.0	0.0	7.959899749373434
0.3	1.2	6.0	0.02	8.889724310776943
